"Name","Institution","state","session","updated_at"
An17t,"PR","UTFPR","ST-1","2019-05-07 08:18:20"
An17t,"PR","UTFPR","ST-1","2019-05-07 08:18:20"
Cl16m,"UFV","MG","ST-1","2019-05-07 08:18:26"
Ma15v,"UFRRJ","RJ","ST-2","2019-05-07 08:18:43"
Fe13r,"IF Catarinense","SC","ST-2","2019-05-07 08:19:24"
Da13d,"UFMG","MG","ST-2","2019-05-07 08:19:24"
Lu29i,"UFLA","MG","ST-3","2019-05-07 08:23:11"
Ma15s,"UFRJ","RJ","ST-3","2019-05-07 08:23:17"
An12r,"UFRJ","RJ","ST-3","2019-05-07 08:23:22"
Ka14i,"UFRJ","RJ","ST-3","2019-05-07 08:23:37"
Fe14i,"UFRJ","RJ","ST-3","2019-05-07 08:23:54"
Ti15i,"University of Cambridge","0","ST-3","2019-05-07 08:24:09"
Ju16t,"UTFPR","PR","ST-2","2019-05-07 08:25:19"
Do12b,"UFF","RJ","ST-2","2019-05-07 08:25:23"
Mi16r,"UFPR","PR","ST-1","2019-05-07 08:26:34"
Al16o,"UFPR","PR","ST-1","2019-05-07 08:26:37"
Al12m,"UFRJ","RJ","ST-2","2019-05-07 08:27:06"
He15r,"UTFPR","PR","ST-3","2019-05-07 08:31:27"
Mi15t,"UFRJ","RJ","ST-3","2019-05-07 08:31:39"
Ka13e,"PUCRS","RS","ST-3","2019-05-07 08:32:08"
Pe12t,"HP","RS","ST-1","2019-05-07 08:32:30"
Al11r,"UFJF","MG","ST-2","2019-05-07 08:32:45"
Lu26r,"","MG","ST-2","2019-05-07 08:32:46"
Ka13e,"PUCRS","RS","ST-1","2019-05-07 08:33:04"
Ka13e,"PUCRS","RS","ST-2","2019-05-07 08:33:53"
An15v,"UFPA","PA","ST-3","2019-05-07 08:36:18"
An15v,"UFPA","PA","ST-3","2019-05-07 08:36:18"
Pe12t,"HP","RS","ST-2","2019-05-07 08:39:02"
Fe12k,"UFJF","MG","ST-2","2019-05-07 08:39:35"
Mi11t,"UFPI","PI","ST-3","2019-05-07 08:39:37"
Al21r,"UFJF","RJ","ST-2","2019-05-07 08:39:39"
Ma15h,"UFPB","PB","ST-2","2019-05-07 08:39:45"
Pe11m,"HP","RS","ST-3","2019-05-07 08:40:15"
Al13t,"UNIP","MT","ST-2","2019-05-07 08:40:19"
Di14r,"ULBRA","RS","ST-2","2019-05-07 08:41:44"
Lu19r,"UNICAMP","SP","ST-1","2019-05-07 08:42:41"
Ar10e,"UNIPAMPA","RS","ST-3","2019-05-07 08:43:26"
Fr14g,"UNIPAMPA","RS","ST-3","2019-05-07 08:43:30"
Ma18h,"UFMG","MG","ST-2","2019-05-07 08:48:43"
Ra15c,"UFMG","MG","ST-3","2019-05-07 08:49:50"
Li12e,"UFPR","PR","ST-1","2019-05-07 08:50:38"
Ot11r,"UFLA","MG","ST-2","2019-05-07 08:51:03"
La12e,"UFRGS","RS","ST-1","2019-05-07 08:52:33"
Ar13o,"RS","UFRGS","ST-1","2019-05-07 08:52:34"
Lu12c,"UFRGS","RS","ST-1","2019-05-07 08:52:37"
Rh13u,"UFSM","RS","ST-1","2019-05-07 08:52:48"
Fi15o,"UFC","CE","ST-3","2019-05-07 08:52:50"
An15t,"IFSUL","RS","ST-1","2019-05-07 08:52:52"
Ad16t,"UFPA","PA","ST-3","2019-05-07 08:52:54"
Fe13f,"UFRGS","RS","ST-1","2019-05-07 08:52:56"
Ad11o,"PUCRJ","RJ","ST-1","2019-05-07 08:56:48"
Ma13z,"BA","UFBA","ST-3","2019-05-07 08:58:27"
Fr23j,"UFBA","CE","ST-3","2019-05-07 08:58:30"
Ar12m,"UFES","ES","ST-2","2019-05-07 08:59:20"
Ca12s,"UFES","ES","ST-3","2019-05-07 08:59:23"
Fa12i,"UFPB","PB","ST-2","2019-05-07 09:00:12"
An15v,"UFPA","PA","ST-3","2019-05-07 09:00:28"
An15v,"UFPA","PA","ST-1","2019-05-07 09:01:47"
Na14v,"UNICAMP","PI","ST-2","2019-05-07 09:02:14"
Ka13e,"PUCRS","RS","ST-2","2019-05-07 09:02:38"
Pe12t,"HP","RS","ST-2","2019-05-07 09:02:41"
Ra19e,"HPE","RS","ST-2","2019-05-07 09:02:55"
Ma13c,"UTFPR","PR","ST-1","2019-05-07 09:03:26"
Ma13c,"UTFPR","PR","ST-1","2019-05-07 09:03:35"
Ra15r,"UNA-SUS","DF","ST-2","2019-05-07 09:04:33"
Ro16h,"UNIPAMPA","RS","ST-3","2019-05-07 09:08:17"
Ad14ç,"IFPE","PE","ST-2","2019-05-07 09:09:39"
Ma13i,"UFABC","SP","ST-1","2019-05-07 09:13:51"
Fe14o,"UFPB","PB","ST-1","2019-05-07 09:20:10"
Hu13o,"IFSUL","RS","ST-2","2019-05-07 09:20:21"
Sa15r,"UFRGS","RS","ST-2","2019-05-07 09:20:31"
Lu12e,"UFPA","PA","ST-3","2019-05-07 09:20:49"
An15v,"UFPA","PA","ST-1","2019-05-07 09:23:59"
Ti15i,"University of Cambridge","0","ST-1","2019-05-07 09:24:29"
Íg11j,"UFMG","MG","ST-1","2019-05-07 09:24:37"
Lu9i,"","","ST-3","2019-05-07 09:24:56"
An15v,"UFPA","PA","ST-2","2019-05-07 09:24:58"
Ne17o,"UFRJ","RJ","ST-2","2019-05-07 09:27:51"
Ra12s,"UNICAMP","SP","ST-2","2019-05-07 09:30:55"
Ra12s,"UNICAMP","SP","ST-2","2019-05-07 09:31:01"
Ra15c,"UFMG","MG","ST-2","2019-05-07 09:33:04"
Ra13r,"UFPA","PA","ST-3","2019-05-07 09:39:40"
Jo15t,"UNICAMP","SP","ST-3","2019-05-07 09:39:43"
Di13s,"UFPA","PA","ST-3","2019-05-07 09:39:47"
Da12z,"UFPA","PA","ST-3","2019-05-07 09:39:51"
Si11n,"Ericsson Research","SP","ST-2","2019-05-07 09:39:56"
Ma12l,"UFGD","MS","ST-3","2019-05-07 09:41:15"
An15v,"UFPA","PA","ST-2","2019-05-07 09:45:52"
Di14r,"ULBRA","RS","ST-2","2019-05-07 09:45:57"
Ad14ç,"IFPE","PE","ST-3","2019-05-07 09:47:11"
Ma16d,"IFGO","GO","ST-3","2019-05-07 09:47:39"
Sa15r,"UFRGS","RS","ST-3","2019-05-07 09:51:22"
Sa15r,"UFRGS","RS","ST-3","2019-05-07 09:51:42"
Gu14i,"UFMG","MG","ST-1","2019-05-07 09:51:57"
Fe15m,"UFF","RJ","ST-1","2019-05-07 09:52:06"
Ne17o,"UFRJ","RJ","ST-1","2019-05-07 09:52:14"
Do12b,"UFF","RJ","ST-1","2019-05-07 09:52:18"
He15r,"UFPA","PA","ST-3","2019-05-07 10:09:04"
Fe11i,"UFPA","PA","ST-3","2019-05-07 10:09:07"
Ar11w,"UFPA","PA","ST-3","2019-05-07 10:09:10"
Ad11o,"PUCRJ","RJ","ST-4","2019-05-07 10:22:01"
Fa15a,"UFPA","PA","ST-4","2019-05-07 10:22:06"
Ra13e,"UFSC","SC","ST-4","2019-05-07 10:22:12"
Gu14l,"UFRJ","RJ","ST-4","2019-05-07 10:27:07"
Le14v,"UFRJ","RJ","ST-4","2019-05-07 10:27:13"
Ra16e,"UFSM","RS","ST-4","2019-05-07 10:27:20"
Al15o,"UFMG","MG","ST-5","2019-05-07 10:27:35"
Ma18h,"UFMG","MG","ST-5","2019-05-07 10:27:44"
Ig11e,"UFF","RJ","ST-5","2019-05-07 10:27:47"
Ad16t,"UFPA","PA","ST-5","2019-05-07 10:27:52"
Al14h,"UFRGS","RS","ST-5","2019-05-07 10:27:59"
An13i,"UFRJ","RJ","ST-5","2019-05-07 10:28:04"
Fe13r,"IF Catarinense","SC","ST-5","2019-05-07 10:28:07"
Ma13i,"UFABC","SP","ST-5","2019-05-07 10:28:21"
Ru21e,"UNIPAMPA","RS","ST-5","2019-05-07 10:28:32"
Ra12s,"UNICAMP","SP","ST-4","2019-05-07 10:28:35"
Ro12a,"CPqD","SP","ST-4","2019-05-07 10:28:39"
Da11m,"UNIPAMPA","RS","ST-5","2019-05-07 10:29:57"
Da11m,"UNIPAMPA","RS","ST-3","2019-05-07 10:30:38"
Ro9ã,"UFRJ","RJ","ST-5","2019-05-07 10:30:46"
Di14r,"ULBRA","RS","ST-5","2019-05-07 10:30:53"
An15v,"UFPA","PA","ST-5","2019-05-07 10:30:57"
Gi17J,"UFMG","MG","ST-5","2019-05-07 10:31:06"
Ra15c,"UFMG","MG","ST-5","2019-05-07 10:31:10"
Lu10l,"UFF","RJ","ST-5","2019-05-07 10:31:12"
Ra13r,"UFPA","PA","ST-5","2019-05-07 10:31:43"
Al13t,"UNIP","MT","ST-3","2019-05-07 10:32:03"
En18o,"UFSCAR","SP","ST-4","2019-05-07 10:32:03"
Ar11w,"UFPA","PA","ST-5","2019-05-07 10:32:22"
He15r,"UFPA","PA","ST-5","2019-05-07 10:32:24"
Do12b,"UFF","RJ","ST-5","2019-05-07 10:32:35"
Ne17o,"UFRJ","RJ","ST-5","2019-05-07 10:32:38"
Fe12k,"UFJF","MG","ST-6","2019-05-07 10:32:42"
Fe15h,"UFRJ","RJ","ST-5","2019-05-07 10:32:44"
Le14v,"UFRJ","RJ","ST-5","2019-05-07 10:32:48"
Ca12s,"UFES","ES","ST-4","2019-05-07 10:33:06"
Ar12m,"UFES","ES","ST-4","2019-05-07 10:33:09"
Al10r,"UFRJ","RJ","ST-5","2019-05-07 10:33:31"
Fe11i,"UFPA","PA","ST-5","2019-05-07 10:33:35"
Ma18i,"UERJ","RJ","ST-5","2019-05-07 10:33:39"
Ca13a,"UFPE","PE","ST-4","2019-05-07 10:33:41"
Da21h,"UFPE","PE","ST-5","2019-05-07 10:33:44"
Ro15d,"UFC","CE","ST-5","2019-05-07 10:34:08"
Da13d,"UFMG","MG","ST-5","2019-05-07 10:34:13"
He15r,"UTFPR","PR","ST-6","2019-05-07 10:34:15"
Ra14n,"UFRGS","RS","ST-5","2019-05-07 10:34:16"
Si11n,"Ericsson Research","SP","ST-5","2019-05-07 10:34:25"
Ar13o,"RS","UFRGS","ST-4","2019-05-07 10:35:23"
Gu20o,"UFRJ","RJ","ST-5","2019-05-07 10:36:43"
An17t,"PR","UTFPR","ST-6","2019-05-07 10:37:13"
La12e,"UFRGS","RS","ST-6","2019-05-07 10:37:17"
Fa13v,"UFBA","BA","ST-4","2019-05-07 10:37:55"
Fa14g,"Petrobrás","RJ","ST-4","2019-05-07 10:38:04"
Le15i,"UFBA","BA","ST-4","2019-05-07 10:38:18"
El12e,"","","ST-2","2019-05-07 10:38:19"
Ma13z,"BA","UFBA","ST-4","2019-05-07 10:38:25"
Je24r,"UFPA","PA","ST-2","2019-05-07 10:38:26"
Em16h,"UFC","CE","ST-2","2019-05-07 10:38:56"
Ot11t,"UFRJ","RJ","ST-4","2019-05-07 10:39:05"
Ma12l,"UFGD","MS","ST-5","2019-05-07 10:39:06"
Su15ã,"PE","BNDES","ST-2","2019-05-07 10:39:12"
An14é,"UFPA","PA","ST-5","2019-05-07 10:39:18"
Lu15e,"INRIA","SP","ST-4","2019-05-07 10:39:29"
Ga16ç,"UFRJ","RJ","ST-5","2019-05-07 10:39:37"
Ia16o,"UFF","RJ","ST-5","2019-05-07 10:40:24"
Lo16r,"ITA","SP","ST-5","2019-05-07 10:40:27"
Hu13o,"IFSUL","RS","ST-5","2019-05-07 10:40:51"
Fi15o,"UFC","CE","ST-2","2019-05-07 10:41:22"
Lu12e,"UFPA","PA","ST-5","2019-05-07 10:41:41"
Jo15t,"UNICAMP","SP","ST-6","2019-05-07 10:41:47"
Hu11o,"UFPA","PA","ST-6","2019-05-07 10:41:49"
Na11n,"UFPA","PA","ST-6","2019-05-07 10:41:52"
Vi18e,"IFSUL","RS","ST-5","2019-05-07 10:42:08"
Ra16h,"UFPA","PA","ST-2","2019-05-07 10:42:13"
Ma19e,"IFFarroupilha","RS","ST-5","2019-05-07 10:42:24"
Gu19e,"IFSUL","RS","ST-5","2019-05-07 10:43:52"
Ra14e,"IFRS","RS","ST-5","2019-05-07 10:44:07"
Ar13z,"UFPA","PA","ST-6","2019-05-07 10:44:07"
Fr23j,"UFBA","CE","ST-4","2019-05-07 10:44:48"
Fa12i,"UFPB","PB","ST-5","2019-05-07 10:45:01"
Lu12o,"UFBA","BA","ST-4","2019-05-07 10:45:02"
Ad23r,"RNP","BA","ST-4","2019-05-07 10:45:07"
Na14v,"UNICAMP","PI","ST-5","2019-05-07 10:45:24"
Ma15h,"UFPB","PB","ST-5","2019-05-07 10:45:29"
Fe14v,"RS","UFRGS","ST-5","2019-05-07 10:45:45"
Ma16d,"IFGO","GO","ST-6","2019-05-07 10:45:52"
An14g,"RS","PUCRS","ST-5","2019-05-07 10:45:52"
Mi11t,"UFPI","PI","ST-6","2019-05-07 10:45:55"
Ro21r,"","RS","ST-6","2019-05-07 10:45:55"
Fa24l,"","RS","ST-6","2019-05-07 10:45:56"
Ad14ç,"IFPE","PE","ST-6","2019-05-07 10:46:28"
Jo11i,"","","ST-5","2019-05-07 10:46:32"
Ro13t,"UFPB","RN","ST-4","2019-05-07 10:48:27"
Lu12c,"UFRGS","RS","ST-5","2019-05-07 10:49:27"
Mi16r,"UFPR","PR","ST-5","2019-05-07 10:50:35"
Sa13j,"UFMG","MG","ST-5","2019-05-07 10:53:05"
Ca11i,"HPE","RS","ST-4","2019-05-07 10:53:49"
Ra19e,"HPE","RS","ST-4","2019-05-07 10:53:57"
Lu9i,"","","ST-5","2019-05-07 10:54:03"
Ro16h,"UNIPAMPA","RS","ST-5","2019-05-07 10:55:05"
Lu12a,"RS","RNP","ST-5","2019-05-07 10:55:10"
An15t,"IFSUL","RS","ST-4","2019-05-07 10:55:27"
Pe12t,"HP","RS","ST-4","2019-05-07 10:55:37"
Jo14e,"UFES","ES","ST-4","2019-05-07 10:55:44"
Ig13h,"UFPA","PA","ST-5","2019-05-07 10:56:16"
Le16r,"UFMG","MG","ST-4","2019-05-07 10:56:20"
An15n,"UFAL","AL","ST-5","2019-05-07 10:57:15"
Vi24v,"UFMG","MG","ST-5","2019-05-07 10:57:23"
Fi15o,"UFC","CE","ST-6","2019-05-07 10:57:31"
Ju16t,"UTFPR","PR","ST-5","2019-05-07 10:58:10"
Pe15o,"UFMG","AL","ST-5","2019-05-07 10:58:23"
Ed21o,"UFMG","MG","ST-5","2019-05-07 11:00:34"
Al16e,"UFMG","MG","ST-5","2019-05-07 11:00:38"
An15v,"UFPA","PA","ST-5","2019-05-07 11:00:48"
Íg11j,"UFMG","MG","ST-5","2019-05-07 11:01:00"
Ma15v,"UFRRJ","RJ","ST-6","2019-05-07 11:01:01"
Al12m,"UFRJ","RJ","ST-6","2019-05-07 11:01:04"
Pe11m,"HP","RS","ST-4","2019-05-07 11:01:17"
Au17e,"UFMG","MG","ST-4","2019-05-07 11:01:47"
An15v,"UFPA","PA","ST-6","2019-05-07 11:02:36"
An15t,"","UFF","ST-5","2019-05-07 11:02:46"
Th21v,"UTFPR","PR","ST-4","2019-05-07 11:03:17"
Ma20t,"UFC","PI","ST-6","2019-05-07 11:03:59"
Al13t,"UNIP","MT","ST-4","2019-05-07 11:04:50"
Ne17o,"UFRJ","RJ","ST-4","2019-05-07 11:04:56"
Ro17t,"UFSM","RS","ST-4","2019-05-07 11:05:03"
Do12b,"UFF","RJ","ST-4","2019-05-07 11:05:09"
An15t,"","UFF","ST-4","2019-05-07 11:05:34"
Di13s,"UFPA","PA","ST-6","2019-05-07 11:06:01"
Pa16g,"UFC","CE","ST-4","2019-05-07 11:07:43"
Em16h,"UFC","CE","ST-4","2019-05-07 11:07:53"
Ja12r,"UFSCar","SP","ST-4","2019-05-07 11:07:55"
Lu19r,"UNICAMP","SP","ST-6","2019-05-07 11:09:46"
Va17t,"UFPA","PA","ST-4","2019-05-07 11:11:39"
Ca13a,"UFPE","PE","ST-4","2019-05-07 11:20:22"
Ja13s,"UDESC","SC","ST-4","2019-05-07 11:21:08"
An15v,"UFPA","PA","ST-6","2019-05-07 11:23:34"
An15v,"UFPA","PA","ST-4","2019-05-07 11:24:45"
Ne17o,"UFRJ","RJ","ST-6","2019-05-07 11:25:40"
Do12b,"UFF","RJ","ST-6","2019-05-07 11:25:50"
Pe15o,"UFMG","AL","ST-5","2019-05-07 11:33:27"
An14é,"UFPA","PA","ST-5","2019-05-07 11:33:35"
An15n,"UFAL","AL","ST-5","2019-05-07 11:35:11"
Ra13r,"UFPA","PA","ST-5","2019-05-07 11:35:40"
Hi12a,"IFPE","PE","ST-6","2019-05-07 11:42:24"
Ra19e,"HPE","RS","ST-5","2019-05-07 11:42:33"
Ca11i,"HPE","RS","ST-5","2019-05-07 11:42:35"
An15v,"UFPA","PA","ST-4","2019-05-07 11:49:21"
Ca13a,"UFPE","PE","ST-4","2019-05-07 11:50:13"
Th12e,"IFAP","AP","ST-5","2019-05-07 11:52:26"
Va17t,"UFPA","PA","ST-4","2019-05-07 11:53:01"
An15t,"","UFF","ST-4","2019-05-07 11:53:18"
Ot11t,"UFRJ","RJ","ST-4","2019-05-07 11:53:24"
Su15ã,"PE","BNDES","ST-4","2019-05-07 11:53:50"
Ia13o,"UFPE","PE","ST-8","2019-05-07 13:39:38"
Ju19J,"UFPI","PI","ST-8","2019-05-07 13:39:42"
Ne17r,"UFPI","PI","ST-8","2019-05-07 13:39:45"
Al19l,"UFPE","PI","ST-8","2019-05-07 13:39:49"
Ju16t,"UTFPR","PR","ST-8","2019-05-07 13:40:20"
Ma12l,"UFGD","MS","ST-8","2019-05-07 13:40:37"
Fa15a,"UFPA","PA","ST-8","2019-05-07 13:40:42"
Jo15t,"UNICAMP","SP","ST-7","2019-05-07 13:54:19"
Ma18e,"UFSJ","MG","ST-7","2019-05-07 13:54:24"
Ed17r,"UFPA","PA","ST-7","2019-05-07 13:54:30"
Lu29i,"UFLA","MG","ST-7","2019-05-07 13:54:38"
Fe14v,"UFPI","PI","ST-8","2019-05-07 13:54:46"
An15v,"UFPA","PA","ST-7","2019-05-07 13:56:22"
Ra12s,"UNICAMP","SP","ST-7","2019-05-07 13:56:27"
Ta13n,"SP","UNICAMP","ST-7","2019-05-07 13:56:35"
Ar13o,"RS","UFRGS","ST-7","2019-05-07 14:00:37"
An12r,"UFRJ","RJ","ST-7","2019-05-07 14:00:44"
Ma13c,"UTFPR","PR","ST-7","2019-05-07 14:01:00"
Ma15s,"UFRJ","RJ","ST-7","2019-05-07 14:01:16"
Ka13e,"PUCRS","RS","ST-7","2019-05-07 14:01:35"
Hi12a,"IFPE","PE","ST-9","2019-05-07 14:01:57"
Do12b,"UFF","RJ","ST-7","2019-05-07 14:02:04"
Lo16r,"ITA","SP","ST-9","2019-05-07 14:02:06"
Al21r,"UFJF","RJ","ST-8","2019-05-07 14:03:41"
Ot11r,"UFLA","MG","ST-8","2019-05-07 14:03:46"
Fe14i,"UFRJ","RJ","ST-9","2019-05-07 14:04:21"
Jo12g,"PE","UFPE","ST-8","2019-05-07 14:04:25"
Lu12e,"UFPA","PA","ST-8","2019-05-07 14:04:30"
Ra15c,"UFMG","MG","ST-9","2019-05-07 14:04:35"
Ne17o,"UFRJ","RJ","ST-7","2019-05-07 14:04:53"
Fa12i,"UFPB","PB","ST-9","2019-05-07 14:05:01"
Da12z,"UFPA","PA","ST-8","2019-05-07 14:05:01"
Ra13r,"UFPA","PA","ST-8","2019-05-07 14:05:05"
Ma20t,"UFC","PI","ST-9","2019-05-07 14:05:08"
Hu11o,"UFPA","PA","ST-7","2019-05-07 14:05:10"
Ro13t,"UFPB","RN","ST-7","2019-05-07 14:05:18"
Di13s,"UFPA","PA","ST-8","2019-05-07 14:05:19"
Ar13z,"UFPA","PA","ST-7","2019-05-07 14:05:21"
Ka14i,"UFRJ","RJ","ST-7","2019-05-07 14:05:34"
Th16r,"UFMG","MG","ST-9","2019-05-07 14:05:56"
Na14v,"UNICAMP","PI","ST-8","2019-05-07 14:06:07"
Fe14v,"RS","UFRGS","ST-9","2019-05-07 14:07:51"
An15n,"UFAL","AL","ST-7","2019-05-07 14:08:08"
Ru21e,"UNIPAMPA","RS","ST-7","2019-05-07 14:08:32"
Da11m,"UNIPAMPA","RS","ST-8","2019-05-07 14:08:54"
Ma19e,"IFFarroupilha","RS","ST-7","2019-05-07 14:09:19"
Sa15r,"UFRGS","RS","ST-8","2019-05-07 14:09:23"
Fa14g,"Petrobrás","RJ","ST-8","2019-05-07 14:10:43"
Fi15o,"UFC","CE","ST-8","2019-05-07 14:11:35"
Gi17v,"UFCG","PB","ST-9","2019-05-07 14:12:19"
He10t,"UFF","RJ","ST-9","2019-05-07 14:12:41"
Lu19r,"UNICAMP","SP","ST-7","2019-05-07 14:12:46"
An15t,"","UFF","ST-9","2019-05-07 14:13:15"
Vi18e,"IFSUL","RS","ST-9","2019-05-07 14:14:35"
Gu19e,"IFSUL","RS","ST-7","2019-05-07 14:15:04"
Pe15o,"UFMG","AL","ST-7","2019-05-07 14:16:34"
Bi14r,"UFPA","PA","ST-9","2019-05-07 14:16:42"
Lu13c,"UFPA","PA","ST-7","2019-05-07 14:16:43"
Na11n,"UFPA","PA","ST-7","2019-05-07 14:16:43"
Re11t,"UFPA","PA","ST-7","2019-05-07 14:16:48"
Fe11i,"UFPA","PA","ST-8","2019-05-07 14:16:57"
Ad14ç,"IFPE","PE","ST-8","2019-05-07 14:17:31"
Ro16r,"UFMS","MS","ST-8","2019-05-07 14:20:15"
Ka13i,"UFBA","BA","ST-8","2019-05-07 14:24:15"
Mi11t,"UFPI","PI","ST-7","2019-05-07 14:24:56"
Fe14v,"UFPI","PI","ST-7","2019-05-07 14:24:59"
Ra16h,"UFPA","PA","ST-7","2019-05-07 14:25:01"
An16r,"UFMG","MG","ST-7","2019-05-07 14:25:20"
Fr16o,"PI","UFPI","ST-7","2019-05-07 14:26:27"
Lu9i,"","","ST-7","2019-05-07 14:26:31"
Do12b,"UFF","RJ","ST-9","2019-05-07 14:27:39"
Ne17o,"UFRJ","RJ","ST-9","2019-05-07 14:27:42"
Pa16g,"UFC","CE","ST-7","2019-05-07 14:28:20"
An15v,"UFPA","PA","ST-7","2019-05-07 14:29:58"
Mo15c,"USP","SP","ST-8","2019-05-07 14:29:59"
Ma12r,"LNCC","RJ","ST-8","2019-05-07 14:30:01"
Ma15t,"DF","UnB","ST-9","2019-05-07 14:30:35"
Jo11i,"","","ST-9","2019-05-07 14:30:40"
An15v,"UFPA","PA","ST-9","2019-05-07 14:33:32"
An15v,"UFPA","PA","ST-9","2019-05-07 14:33:45"
An15v,"UFPA","PA","ST-8","2019-05-07 14:43:00"
Fr14g,"UNIPAMPA","RS","ST-7","2019-05-07 14:43:04"
Lo16r,"ITA","SP","ST-7","2019-05-07 14:45:37"
Fe15a,"PA","UFPA","ST-8","2019-05-07 14:47:24"
Cr18a,"UFAL","AL","ST-7","2019-05-07 14:48:47"
Ne17o,"UFRJ","RJ","ST-8","2019-05-07 14:51:57"
Do12b,"UFF","RJ","ST-8","2019-05-07 14:52:00"
Ro19c,"UNICAMP","SP","ST-9","2019-05-07 14:58:55"
Ar10e,"UNIPAMPA","RS","ST-8","2019-05-07 15:00:37"
Le16e,"UFRGS","RS","ST-7","2019-05-07 15:00:38"
Le16e,"UFRGS","RS","ST-7","2019-05-07 15:00:45"
Lu29i,"UFLA","MG","ST-8","2019-05-07 15:07:19"
An15v,"UFPA","PA","ST-8","2019-05-07 15:26:04"
Fi15o,"UFC","CE","ST-8","2019-05-07 15:26:10"
An12e,"UFPI","PI","ST-8","2019-05-07 15:26:46"
Ma16d,"IFGO","GO","ST-9","2019-05-07 15:27:06"
Vi13t,"UFES","MG","ST-9","2019-05-07 15:34:53"
Lu19r,"UNICAMP","SP","ST-7","2019-05-07 15:35:39"
An15n,"UFAL","AL","ST-7","2019-05-07 15:35:57"
An16r,"UFMG","MG","ST-7","2019-05-07 15:36:07"
Th15n,"MCTIC","DF","ST-8","2019-05-07 15:38:48"
Ev14d,"UFRJ","RJ","ST-9","2019-05-07 15:46:55"
Cl16m,"UFV","MG","ST-9","2019-05-07 15:51:20"
Gl17e,"UFPI","MG","ST-9","2019-05-07 15:59:16"
Vi13t,"UFES","MG","ST-9","2019-05-07 15:59:38"
Jo11i,"","","ST-9","2019-05-07 16:02:11"
Al16e,"UFMG","MG","ST-10","2019-05-07 16:20:50"
Ot11r,"UFLA","MG","ST-10","2019-05-07 16:27:29"
El16o,"UFSJ","MG","ST-10","2019-05-07 16:27:59"
Ma13i,"UFABC","SP","ST-10","2019-05-07 16:28:14"
Th14t,"UFPR","PR","ST-10","2019-05-07 16:28:35"
Ed21o,"UFMG","MG","ST-10","2019-05-07 16:28:43"
Lu9i,"","","ST-10","2019-05-07 16:29:47"
Ra15c,"UFMG","MG","ST-10","2019-05-07 16:29:49"
Pa13s,"IFPB","PB","ST-10","2019-05-07 16:30:29"
